Year,Market Name,Borough,Street Address,Community District,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Accepts EBT,Open Year-Round,Stellar Cooking Demonstrations
2025,Down to Earth Park Slope Farmers Market,Brooklyn,289 4th St.,306,40.672424,-73.984257,Sunday,9 a.m. - 2 p.m.,,Yes,Yes,No
2025,East New York Farm Stand,Brooklyn,Euclid & Pitkin Aves.,305,40.675404,-73.871914,Thursday,1-5 p.m.,,Yes,No,No
2025,East New York Farmers Market,Brooklyn,Schenck Avenue between New Lots and Livonia Avenues,305,40.665296,-73.886557,Saturday,9 a.m. - 3 p.m.,,Yes,No,Yes
2025,Eastchester Farmstand,Bronx,E 229th St. bet. Schieffelin Pl. & Needham Ave.,212,40.88372,-73.842046,Wednesday,10 a.m. - 3 p.m.,,Yes,No,Yes
2025,Edgemere Farm Market,Queens,385 Beach 45th St,414,40.595255,-73.776524,Friday & Saturday,3 p.m. - 6 p.m. (Friday); 10 a.m. - 1 p.m. (Saturday),,Yes,No,No
2025,Elmhurst Hospital Greenmarket,Queens,41st Ave. bet. 80th & 81st Sts,404,40.745794,-73.885489,Tuesday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Far Rock Farm Stand,Queens,45-55 Beach Channel Dr.,414,40.595572,-73.777001,Saturday,10 a.m. - 2 p.m.,,Yes,No,No
2025,Flushing Greenmarket,Queens,Sanford Ave. & Union St. (Bowne Playground),407,40.757731,-73.824852,Wednesday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Forest Hills Greenmarket,Queens,Queens Blvd. & 70th Ave.,406,40.722054,-73.847155,Sunday,8 a.m. - 2 p.m.,,Yes,Yes,No
2025,Forest Park Farmstand,Queens,Park Lane S. & Myrtle Ave. (My Buddy Statue plaza),409,40.701192,-73.841597,Saturday,9 a.m. - 2:30 p.m.,,Yes,No,No
2025,Fort Greene Greenmarket,Brooklyn,Washington Park & Dekalb Ave.,302,40.691457,-73.973421,Saturday,8 a.m. - 3 p.m.,,Yes,Yes,No
2025,Fort Washington Greenmarket,Manhattan,168th St. & Ft. Washington Ave.,112,40.842296,-73.942027,Tuesday,8 a.m. - 4 p.m.,,Yes,No,No
2025,Fresh Vibes Market at Brookdale Hospital,Brooklyn,1 Brookdale Plaza,317,40.654163,-73.911584,Friday (1st and 3rd of each month),11 a.m. - 2 p.m.,,Yes,Yes,No
2025,Fresh Vibes Market at Emblem Health Crown Heights,Brooklyn,546 Eastern Pkwy,309,40.669826,-73.949958,Wednesday (3rd Wednesday of each month),11 a.m. - 3 p.m.,,Yes,Yes,No
2025,Fresh Vibes Market at Emblem Health East New York,Brooklyn,101 Pennsylvania Ave.,305,40.6753,-73.896728,Wednesday (2nd of each month),11 a.m. - 3 p.m.,,Yes,Yes,No
2025,Fresh Vibes Market at Medgar Evers College,Brooklyn,1650 Bedford Ave.,309,40.666269,-73.956676,Monday (1st and 3rd),10 a.m. - 2 p.m.,,Yes,No,No
2025,Fresh Vibes Market at the Bureau of Brooklyn Neighborhood Health,Brooklyn,485 Throop Ave.,303,40.685654,-73.941462,Friday (2nd and 4th),11 a.m. - 2 p.m.,,Yes,Yes,No
2025,"Fresh Vibes Market at the Local Development Corportation of Crown Heights, Inc.",Brooklyn,252 Kingston Ave.,308,40.670929,-73.942062,Tuesday (1st of each month),11 a.m. - 2 p.m.,,Yes,Yes,No
2025,Fulton Stall Market (indoor farmers market),Manhattan,91 South St. bet. Fulton & John Sts.,101,40.705865,-74.003769,Mon-Sat,11:30 a.m. - 5 p.m.,,Yes,Yes,No
2025,Gouverneur Health Farmstand,Manhattan,Madison St. bet. Clinton & Jefferson Sts.,103,40.712905,-73.986928,Friday,8:30 a.m. - 2 p.m.,,Yes,No,No
2025,Grand Army Plaza Greenmarket,Brooklyn,Grand Army Plaza,308,40.672525,-73.969799,Saturday,8 a.m. - 4 p.m.,,Yes,Yes,No
2025,Grass Roots Farmers' Market,Manhattan,"W 145th St bet Edgecombe & Bradhurst Aves, at Jackie Robinson Park",109,40.823647,-73.943844,Tuesday & Saturday,9 a.m. - 4 p.m.,,Yes,No,Yes
2025,Greenmarket at Rockefeller Center,Manhattan,Rockefeller Center Plaza at 50th St.,105,40.759204,-73.978335,Wednesday,8 a.m. - 5 p.m.,,Yes,No,No
2025,Harlem Health Market,Manhattan,163 W 125th St.,110,40.8089152,-73.9475966,Saturday,9 a.m. - 4 p.m.,,Yes,No,No
2025,Harvest Home Coney Island Hospital Farmers Market,Brooklyn,Ocean Pkwy bet. Avenue Z & Shore Pkwy.,313,40.5867,-73.96615,Friday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Harvest Home Co-op City Farm Stand,Bronx,Asch Loop & Aldrich Ave.,210,40.8702,-73.830963,Wednesday & Saturdays,8 a.m. - 3 p.m.,,Yes,No,No
2025,Harvest Home East Harlem Farmers Market,Manhattan,E. 104th St. & 3rd Ave.,111,40.7903,-73.945635,Thursday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Harvest Home Hunts Point Farm Stand,Bronx,Southern Blvd. bet. Barretto & Tiffany Sts. (Luis Suarez Memorial Park),202,40.81894,-73.893492,Wednesday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Harvest Home Jacobi Hospital Farmers Market,Bronx,1400 Pelham Pkwy,211,40.8574,-73.847079,Friday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Harvest Home Metropolitan Hospital Farmers Market,Manhattan,E. 97th St. & 2nd Ave.,111,40.784943,-73.946589,Friday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Harvest Home Mt. Eden Malls Farmers Market,Bronx,Mt. Eden & Morris Aves. (Claremont Park),204,40.8429,-73.909558,Tuesday & Thursday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Heritage Farm Stand (Compost Demonstration Site),Staten Island,1000 Richmond Terrace (compost demonstration site),501,40.645075,-74.104753,Thursday & Saturday,3:30 p.m. - 6 p.m. (Thursday); 9 a.m. - 12 p.m. (Saturday),,Yes,No,No
2025,Inwood Greenmarket,Manhattan,Isham St. bet. Seaman Ave. & Cooper St.,112,40.869001,-73.920896,Saturday,8 a.m. - 3 p.m.,,Yes,Yes,No
2025,Isabahlia Farmers Market at ISO Student Farm,Brooklyn,514 Rockaway Ave (ISO Student Farm),316,40.667554,-73.910207,Friday & Saturday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Isabahlia Farmers Market at Powell Street Garden,Brooklyn,410 Livonia Ave (In Front of Powell Street Garden),316,40.663532,-73.902236,Friday & Saturday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Jackson Heights Greenmarket,Queens,34th Ave. & 79th St.,403,40.753607,-73.887739,Sunday,8 a.m. - 3 p.m.,,Yes,Yes,No
2025,JBOLC Garden Community Farmers Market,Bronx,100 W Mosholu Pkwy (James Baldwin Plaza),207,40.882178,-73.88691,Saturday,10 a.m. - 3 p.m.,,Yes,No,No
2025,La Familia Verde Farmers Market,Bronx,E. Tremont Ave. bet. Arthur Ave & LaFontaine Ave.,206,40.846448,-73.893563,Tuesday,9 a.m. - 3 p.m.,,Yes,No,Yes
2025,La Familia Verde Farmers Market Highbridge Farmers Market,Bronx,1430 Plimpton Avenue,204,40.843627,-73.922243,Wednesday,10 a.m. - 2 p.m.,,Yes,No,No
2025,La Familia Verde Southern Boulevard Farmers Market,Bronx,1070 Southern Boulevard,202,40.824955,-73.891918,Thursday,10 a.m. - 1 p.m.,,Yes,No,No
2025,Lenox Hill Farmstand,Manhattan,1st Ave. & 70th St. (Lenox Hill Neighborhood House),108,40.766925,-73.95795,Thursday,11 a.m. - 4 p.m.,,Yes,No,No
2025,Lincoln Hospital Greenmarket,Bronx,E. 149th St. bet. Park & Morris Aves,201,40.818013,-73.925185,Tuesdays & Fridays,8 a.m. - 3 p.m.,,Yes,No,Yes
2025,Lower East Side Farmstand,Manhattan,Grand St. bet. Pitt & Willett Sts. (outside of Abrons Arts Center),103,40.71521,-73.984258,Friday,9 a.m. - 1 :30 p.m.,,Yes,No,No
2025,McCarren Park Greenmarket,Brooklyn,N 12th btwn Union & Driggs Aves,301,40.719219,-73.952479,Saturday,8 a.m. - 3 p.m.,,Yes,Yes,No
2025,Morning Glory Market at the New York Botanical Gardens,Bronx,2900 Southern Blvd. (inside the Moshulu Gate entrance),227,40.865684,-73.883312,Wednesday,10 a.m. - 3 p.m.,,Yes,No,No
2025,Morris Heights Farmstand,Bronx,University Avenue and W Burnside Ave. (NE corner),205,40.854925,-73.911078,Wednesday,9:30 a.m. - 2:30 p.m.,,Yes,No,Yes
2025,Morrisania Farmstand,Bronx,169th St. & Boston Rd. (at McKinley Square),203,40.83118,-73.900545,Wednesday,10 a.m. - 2 p.m.,,Yes,No,No
2025,Mott Haven Farm Stand,Bronx,541 E 139th St. (Padre Plaza Garden),201,40.807883,-73.917885,Wednesday,9 a.m. - 1 p.m.,,Yes,No,No
2025,Mount Sinai Greenmarket,Manhattan,99th St. & Madison Ave.,111,40.789386,-73.952595,Wednesday,8 a.m. - 3 p.m.,,Yes,No,No
2025,New Roots Farm Stand,Bronx,670 Grand Concourse,204,40.821447,-73.925492,Saturday,10 a.m. - 3 p.m.,,Yes,No,No
2025,Norwood Farmstand,Bronx,E. Gun Hill Rd. & Dekalb Ave. (SE corner),207,40.88222,-73.880458,Thursday,9:30 a.m. - 2:30 p.m.,,Yes,No,Yes
2025,Parkchester Greenmarket,Bronx,Westchester Ave. & White Plains Rd.,209,40.833279,-73.862833,Friday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Perez Farm Stand,Queens,"134-20 Jamaica Avenue, by the Axel Building",409,40.70236,-73.818531,Wednesday,10 a.m. - 4 p.m.,,Yes,No,No
2025,Poe Park Greenmarket,Bronx,E 192nd St. bet. Grand Concourse & Valentine,207,40.86431,-73.895379,Tuesday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Project EATS & St. Barnabas Hospital Farm Stand,Bronx,4507 3rd Ave.,206,40.853237,-73.891742,Wednesday,11 a.m. - 4 p.m.,,Yes,No,No
2025,Project EATS Brownsville Farm Stand,Brooklyn,300 Chester St.,316,40.664477,-73.910384,Thursday,11 a.m. - 4 p.m.,,Yes,No,No
2025,Project EATS Farm Stand at Essex Crossing,Manhattan,115 Delancey St.,103,40.719322,-73.987817,TBD,11 a.m. - 4 p.m.,,Yes,No,No
2025,Project EATS Farm Stand at The Crossing,Manhattan,1956 1st Avenue,111,40.786236,-73.942511,Saturday,11 a.m. - 3 p.m.,,Yes,No,No
2025,PS 11 Farm Market,Manhattan,320 W. 21st St.,104,40.744349,-74.000253,Wednesday,8 a.m. - 10 a.m.,,No,No,No
2025,PS 178 Farmers Market,Brooklyn,2163 Dean St.,316,40.675024,-73.915778,Wednesday,noon - 3 p.m.,,Yes,Yes,No
2025,PS 57 Farmstand,Manhattan,115th St. & 3rd Ave. (SW corner),111,40.797577,-73.94128,Thursday,10 a.m. - 3 p.m.,,Yes,No,Yes
2025,Queens County Farm Museum Farm Stand,Queens,73-50 Little Neck Pkwy,413,40.748163,-73.719431,Wednesday - Sunday,10 a.m. - 4 p.m.,,Yes,No,No
2025,Queens Farm - Queens Borough Hall,Queens,120-55 QueensBlvd.,409,40.713318,-73.82858,Thursday,10 a.m. - 3 p.m.,,Yes,No,No
2025,Queens Farm @ Jamaica Hospital,Queens,134-20 Jamaica Ave.,409,40.70236,-73.818531,Friday,10 a.m. - 3 p.m.,,Yes,No,No
2025,Red Hook Farm Stand,Brooklyn,560 Columbia St.,306,40.672524,-74.00871,Saturday,10 a.m. - 2 p.m.,,Yes,No,No
2025,Ridgewood Farmstand,Queens,Cypress Ave bet. Myrtle & Putnam Aves.,405,40.700403,-73.90668,Saturday,9:30 a.m. - 2 p.m.,,Yes,No,No
2025,RiseBoro Farmers Markets at Hope Ballfield,Brooklyn,Knickerbocker Ave. bet. Menahan & Grove Sts.,304,40.69768,-73.916366,Wednesday,9 a.m. - 3 p.m.,,Yes,No,No
2025,RiseBoro Farmers Markets at Irving Square Park,Brooklyn,"Knickerbocker Ave., bet. Weirfield & Halsey Sts.",304,40.693761,-73.909497,Sunday,9a.m. - 2 p.m.,,Yes,No,Yes
2025,RiseBoro Farmers Markets at Maria Hernandez,Brooklyn,Knickerbocker Ave. bet. Suydam & Starr Sts.,304,40.702811,-73.92539,Saturday,8 a.m. - 3 p.m.,,Yes,No,Yes
2025,Riverdale Neighborhood House Youth Market,Bronx,5521 Mosholu Ave.,208,40.903039,-73.90375,Thursday,1 p.m. - 6 p.m.,,Yes,No,No
2025,Riverdale Y Sunday Market,Bronx,4545 Independence Ave.,208,40.891762,-73.912208,Sunday,9 a.m. - 2 p.m.,,Yes,No,No
2025,Ruppert Park Greenmarket,Manhattan,90th Street & 2nd Avenue,108,40.780294,-73.949521,Sunday,9 a.m. - 3 p.m.,,Yes,No,No
2025,Saratoga Farm Stand,Brooklyn,1965-1971 Fulton St.,316,40.678562,-0.000079704,Saturday,10 a.m. - 2 p.m.,,Yes,No,No
2025,St. George Greenmarket,Staten Island,St Marks Pl. & Hyatt St.,501,40.641586,-74.0779,Saturday,8 a.m. - 1 p.m.,,Yes,Yes,No
2025,Staten Island Mall Greenmarket,Staten Island,Marsh Ave. & Ring Rd.,502,40.583804,-74.161245,Saturday,8 a.m. - 2 p.m.,,Yes,No,No
2025,Stuyvesant Town Greenmarket,Manhattan,North end of Stuyvesant Town Oval (near 20th St. Loop),106,40.731498,-73.97818,Sunday,9:30 a.m. - 4 p.m.,,Yes,No,No
2025,Sunnyside Greenmarket,Queens,Skillman Ave. & 43rd St.,402,40.74701,-73.92173,Saturday,8 a.m. - 3 p.m.,,Yes,Yes,No
2025,Tompkins Square Greenmarket,Manhattan,7th St. & Avenue A,103,40.726054,-73.983534,Sunday,9 a.m. - 4 p.m.,,Yes,Yes,No
2025,Tribeca Greenmarket,Manhattan,Greenwich & Chambers Sts.,101,40.716303,-74.010966,Saturday,8 a.m. - 2 p.m.,,Yes,Yes,No
2025,Tucker Square Greenmarket,Manhattan,66th St. & Broadway,107,40.773709,-73.98196,Thursday & Saturday,8 a.m. - 4 p.m.,,Yes,Yes,No
2025,Two Bridges Youth Market,Manhattan,50 Madison St.,103,40.711958,-73.997825,Sunday,10:30 a.m. - 3:00 p.m.,,Yes,No,Yes
2025,Union Square Greenmarket,Manhattan,Union Square West & 17th St.,105,40.737133,-73.990329,"Monday, Wednesday, Friday & Saturday",8 a.m. - 6 p.m.,,Yes,Yes,No
2025,Uptown Good Food Farm Stand & CSA,Manhattan,330 St. Nicholas Ave.,110,40.81172,-73.951795,Thursday,4 p.m. - 7 p.m.,,Yes,No,No
2025,Uptown Good Food Farmers Market,Manhattan,"St Nicholas Ave &, W 137th St (St. Nicholas Park)",110,40.818521,-73.947392,Saturday,9 a.m. - 3 p.m.,,Yes,No,No
2025,Uptown Grand Central Farmstand,Manhattan,125th St. & Park Ave.,111,40.805396,-73.939818,Wednesday,1:30 p.m. - 7 p.m,,Yes,No,No
2025,Van Cortlandt Park Alliance Farm Stand,Bronx,Orloff Ave & Gale Pl,208,40.884532,-73.892172,Wednesday,2 p.m. - 7 p.m.,,Yes,No,No
2025,Woodhull Hospital Farmstand,Brooklyn,Graham Ave. & Broadway,301,40.701022,-73.942202,Wednesday,9 a.m. - 2 p.m.,,Yes,No,No
2025,Wyckoff House Museum Farmstand,Brooklyn,5816 Clarendon Rd,317,40.64497,-73.920914,Saturday,11 a.m. - 3 p.m.,,Yes,No,No
2024,170 Farm Stand,Bronx,1406 Townsend Ave.,204,40.840138,-73.916591,Wednesday,2 p.m. - 6 p.m.,,Yes,no,No
2024,175th Street Greenmarket,Manhattan,W. 175th St. bet. Wadsworth Ave. & Broadway,112,40.845948,-73.937811,Thursday,8 a.m. - 4p.m.,,Yes,no,No
2024,4th Ave Sunset Park Greenmarket,Brooklyn,4th Ave. 60th St.,307,40.647975,-74.003744,Saturday,8 a.m. - 3 p.m.,,Yes,no,No
2024,57th Street Greenmarket,Manhattan,57th St. & 10th Ave.,104,40.769117,-73.988559,Saturday,8 a.m. - 3 p.m.,,Yes,no,No
2024,79th Street Greenmarket,Manhattan,79th St. & Columbus Ave.,107,40.782295,-73.975244,Sunday,9 a.m. - 4 p.m,,Yes,yes,No
2024,7th Ave Sunset Park Greenmarket,Brooklyn,7th Ave. & 44th St.,307,40.645841,-74.002402,Saturday,8 a.m. - 3 p.m.,,Yes,yes,No
2024,82nd Street Greenmarket,Manhattan,82nd St. bet. 1st & York Aves,108,40.774292,-73.951262,Saturday,9 a.m. - 2:30 p.m.,,Yes,yes,No
2024,92nd Street Greenmarket,Manhattan,92nd St. & 1st Ave.,108,40.781968,-73.945267,Sunday,9 a.m. - 4 p.m.,,Yes,no,No
2024,97th Street Greenmarket,Manhattan,97th St. bet. Columbus & Amsterdam Aves,107,40.794003,-73.96807,Friday,8 a.m. - 2 p.m.,,Yes,yes,No
2024,Abingdon Square Greenmarket,Manhattan,Hudson St. & W 12th St.,102,40.737553,-74.005687,Saturday,8 a.m. - 2 p.m.,,Yes,yes,No
2024,Astor Place Greenmarket,Manhattan,E 8th St. & Lafayette Ave.,102,40.72982,-73.991023,Tuesday,8 a.m. - 5 p.m.,,Yes,no,No
2024,Bartel-Pritchard Square Greenmarket,Brooklyn,Prospect Park W at 15th St.,355,40.661354,-73.96968,Wednesday & Sunday (starting 5/5),8 a.m. - 2 p.m. (W); 9 a.m. - 2 p.m. (SU),,Yes,Yes (Wed only),No
2024,Bay Ridge Greenmarket,Brooklyn,3rd Ave. & 95th St.,310,40.61781,-74.03338,Saturday,8 a.m. - 3 p.m.,,Yes,no,No
2024,Bed Stuy Farmstand,Brooklyn,Decatur St & Lewis Ave,303,40.681371,-73.934002,Saturday,9 a.m - 2 p.m.,,Yes,yes,No
2024,Bensonhurst Greenmarket,Brooklyn,18th Ave. bet. 81st & 82nd Sts,311,40.609588,-73.999677,Sunday,9 a.m. - 3 p.m.,,Yes,no,No
2024,Bissel Gardens Farmers Market,Bronx,Baychester Ave & E 241st St,212,40.90152,-73.846937,Saturday,10 a.m.- 4 p.m.,,Yes,no,No
2024,Boro Park Greenmarket,Brooklyn,14th Ave. bet. 49th & 50th Sts,312,40.633285,-73.990548,Thursday,8 a.m. - 2 p.m.,,Yes,no,No
2024,Bowling Green Greenmarket,Manhattan,Broadway at Battery Pl.,101,40.704549,-74.01429,Tuesday & Thursday,8 a.m. - 2 p.m.,,Yes,no,No
2024,Bro Sis Green Youth Market,Manhattan,"Amsterdam bet W 143rd & 144th Sts., at Johnny Hartman Plaza",109,40.82394,-73.948552,Wednesday,10:30 a.m. - 6 p.m.,,Yes,no,No
2024,Bronx Borough Hall Greenmarket,Bronx,161st St. & Grand Concourse,204,40.827335,-73.922911,Tuesday,8 a.m. - 4 p.m.,,Yes,no,Yes
2024,Bronx Park East (BxPE) Farmers Market,Bronx,"2045 Bronx Park East, Bronx Park (Bradley Playground)",211,40.851713,-73.867786,Sunday,9 a.m. - 4 p.m.,,Yes,no,No
2024,BronxWorks Farm Stand,Bronx,1130 Grand Concourse,204,40.832759,-73.919296,Thursday,10 a.m. - 2 p.m.,,Yes,no,No
2024,Brooklyn Borough Hall Greenmarket,Brooklyn,Montague & Court Sts,302,40.693722,-73.990455,Tusday & Saturday,8 a.m. - 3 p.m.,,Yes,yes,No
2024,Brooklyn Grange Farm Stand,Brooklyn,850 3rd Ave (Roof),307,40.658518,-74.003327,Sunday (monthly),10 a.m. - 3 p.m.,,Yes,no,No
2024,Brownsville Pitkin Farmstand,Brooklyn,Pitkin Ave. & Thomas Boyland St.,316,40.669234,-73.913698,Saturday,8:30 a.m. - 1:30 p.m.,,Yes,no,No
2024,Carroll Gardens Greenmarket,Brooklyn,Smith & Carroll Sts,306,40.680761,-73.99552,Sunday,8 a.m. - 2 p.m.,,Yes,yes,No
2024,Chelsea's Down to Earth Farmers Market,Manhattan,W. 23rd St btwn 8th & 9th Aves,104,40.745293,-73.998488,Saturday,9 a.m. - 2 p.m.,,Yes,no,No
2024,Children's Aid Go!Healthy Food Box + Farmstand - CS211,Bronx,1919 Prospect Ave.,206,40.843546,-73.889755,Thursday,1:30 p.m. - 4 p.m.,,Yes,no,No
2024,Children's Aid Go!Healthy Food Box + Farmstand - Goodhue Center,Staten Island,304 Prospect Ave.,501,40.638936,-74.097966,Tuesday,1 p.m. - 3:30 p.m.,,Yes,no,No
2024,Children's Aid Go!Healthy Food Box + Farmstand - Milbank Center,Manhattan,14-32 W. 118th St.,110,40.802317,-73.946351,Wednesday,2:30 p.m. - 5:30 p.m.,,Yes,no,No
2024,Children's Aid Go!Healthy Food Box + Farmstand - PS 152,Manhattan,93 Nagle Ave.,112,40.860412,-73.927936,Tuesday,2:30 p.m - 5 p.m.,,Yes,no,No
2024,Columbia Greenmarket,Manhattan,Broadway & 114th St.,109,40.807145,-73.964265,Thursday & Sunday,8 a.m. - 4 p.m.,,Yes,yes,No
